ID,TITLE,NAME,ORIG_NAME,AUTHOR,DESCRIPTION,RATING,STATUS,DOC_TYPE,FILE_SIZE,ORIGINAL_PATH,FILE_CREATION_TIME,FILE_LAST_WRITE_TIME,CREATED_BY,CREATED_ON,OCR,TAG,TAG1,TAG2,TAG3,TAG4,TAG5
"B6-EC-5D-AA-4D-16-F1-49-AA-BD-EB-1A-11-E6-D3-F6-1F-15-E4-4D","American Civil War Fortifications (1) Coastal brick and stone forts","006_american_civil_war_fortifications_1_coastal_brick_and_stone_forts.pdf","006_American_Civil_War_Fortifications_1_Coastal_brick_and_stone_forts.pdf","a konstam","","1","PENDING",".pdf","12507780","D:\AlexLibrary_v1\FinalLibrary\a konstam","01/25/2022","11/18/2021","a konstam","11/23/2022","","History","A Konstam","","","9.78E+12",""
"2E-B4-C5-64-FD-EF-41-C0-22-7C-88-1D-6C-D3-AD-75-56-A1-B9-13","From Epicurus to Epictetus","from_epicurus_to_epictetus.pdf","FROM_EPICURUS_TO_EPICTETUS.pdf","a. a. long","","1","PENDING",".pdf","5270050","D:\AlexLibrary_v1\FinalLibrary\a. a. long","01/25/2022","11/18/2021","a. a. long","11/23/2022","","Philosophy","A. A. Long","Clarendon Press","9/14/2006 0:00","9.78E+12",""
"82-E7-CB-1D-C5-58-9A-B5-18-A3-0B-49-59-35-B4-7D-96-58-5F-DA","Top Incomes Over the Twentieth Century","abatkinson_top_incomes_over_bookfi.org.pdf","ABAtkinson_Top_Incomes_over_BookFi.org.pdf","a. b. atkinson","","1","PENDING",".pdf","3042596","D:\AlexLibrary_v1\FinalLibrary\a. b. atkinson","01/25/2022","11/18/2021","a. b. atkinson","11/23/2022","","Business & Economics","A. B. Atkinson;Thomas Piketty","OUP Oxford","5/10/2007 0:00","9.78E+12",""
"AA-47-6E-6C-34-DD-C8-CA-CB-A8-BD-82-D2-00-44-0E-D6-24-B6-3E","Alexander the Great in Fact and Fiction","alexander_the_great_in_fact_and_fiction_2000_ebook_.pdf","alexander_the_great_in_fact_and_fiction_2000_ebook_.pdf","a. b. bosworth","","1","PENDING",".pdf","4853518","D:\AlexLibrary_v1\FinalLibrary\a. b. bosworth","01/25/2022","11/18/2021","a. b. bosworth","11/23/2022","","History","A. B. Bosworth;Elizabeth Baynham","Oxford University Press on Demand","6/24/1905 0:00","9.78E+12",""
"40-C2-11-35-39-9F-3D-72-8C-FB-DC-A6-8F-2B-C4-2C-8E-30-66-6C","Archaeology, Annales, and Ethnohistory","archeology_annales_ethnohistory.pdf","Archeology_Annales_Ethnohistory.pdf","a. bernard knapp","","1","PENDING",".pdf","3887456","D:\AlexLibrary_v1\FinalLibrary\a. bernard knapp","01/25/2022","11/18/2021","a. bernard knapp","11/23/2022","","History","A. Bernard Knapp","Cambridge University Press","4/16/1992 0:00","9.78E+12",""
"1C-C4-A1-EA-06-5E-5B-DF-54-C0-61-09-57-5F-06-75-90-E0-DE-02","Prehistoric and Protohistoric Cyprus","prehistoric_&_protohistoric_cyprus.pdf","PREHISTORIC_&_PROTOHISTORIC_CYPRUS.pdf","a. bernard knapp","","1","PENDING",".pdf","6350162","D:\AlexLibrary_v1\FinalLibrary\a. bernard knapp","01/25/2022","11/18/2021","a. bernard knapp","11/23/2022","","History","A. Bernard Knapp","Oxford University Press","2/21/2008 0:00","9.78E+12",""
"FA-46-8C-B3-E1-4B-D1-48-1E-13-82-6A-87-0D-D0-D0-40-DB-8A-32","The price of freedom","pirates_of_the_caribbean_the_price_of_f_a.c.mobi","Pirates_of_the_Caribbean_The_Price_of_F_A.C.mobi","a. c. crispin","","1","PENDING",".mobi","1031593","D:\AlexLibrary_v1\FinalLibrary\a. c. crispin","01/25/2022","11/18/2021","a. c. crispin","11/23/2022","","Fiction","A. C. Crispin","","","9.78E+12",""
"58-7C-02-27-1E-4F-74-B8-8F-C5-40-94-FB-C0-30-C2-18-2A-0A-4C","War in Late Antiquity","war_in_late_antiquity.pdf","War_in_Late_Antiquity.pdf","a. d. lee","","1","PENDING",".pdf","2599495","D:\AlexLibrary_v1\FinalLibrary\a. d. lee","01/25/2022","11/18/2021","a. d. lee","11/23/2022","","History","A. D. Lee","John Wiley & Sons","2/9/2009 0:00","9.78E+12",""
"58-6D-B7-12-68-D3-C0-19-C0-B8-07-2E-E9-C8-72-C9-59-83-00-0C","German Intellectuals and the Nazi Past","german_intellectuals_and_the_nazi_past.pdf","German_Intellectuals_and_the_Nazi_Past.pdf","a. dirk moses","","1","PENDING",".pdf","2473246","D:\AlexLibrary_v1\FinalLibrary\a. dirk moses","01/25/2022","11/18/2021","a. dirk moses","11/23/2022","","History","A. Dirk Moses","","","9.78E+12",""
"64-43-04-5B-19-74-98-30-7E-F8-5B-D4-C2-5E-CE-08-64-CD-8F-16","Wings of a Butterfly","a_faris_wings_of_a_butterfly_decadent_1ns_15_mobi.mobi","A_Faris_Wings_of_a_Butterfly_Decadent_1NS_15_mobi.mobi","a. faris","","1","PENDING",".mobi","199345","D:\AlexLibrary_v1\FinalLibrary\a. faris","01/25/2022","11/18/2021","a. faris","11/23/2022","","Fiction","A. Faris","","","9.78E+12",""
